Projeto;Tipo de Serviço;Região;Data Prog.;Status;Intervenção;OS;Equipamento;Início Prog.;Fim Prog.;Parceira;Latitude;Longitude;Link Google Maps;Link My Maps
DMP/A.LES.24.06851;Reforma de Rede Secundaria RTRI;LES;15/06/2026;Liberado para Execução;FI;16276951;010ET018539;15/06/2026 09:30;15/06/2026 13:30;Engelmig (Área 11) NEC e UPS;-23.62637232;-46.52014232;https://www.google.com/maps/place/-23.62637232,-46.52014232;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.25.01123;Reforma de Rede Secundaria RTRI;LES;15/06/2026;Liberado para Execução;FI;16270800;356ET051803;15/06/2026 09:59;15/06/2026 14:00;Engelmig (Área 11) NEC e UPS;-23.59421755;-46.42333646;https://www.google.com/maps/place/-23.59421755,-46.42333646;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.22.01016;Reforma de Rede Secundária;LES;15/06/2026;Liberado para Execução;OLVR;;356ET017642;15/06/2026 08:29;15/06/2026 16:30;Engelmig (Área 11) NEC e UPS;-23.53968067;-46.47495979;https://www.google.com/maps/place/-23.53968067,-46.47495979;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.20.06315;Reforma de Rede Secundária;LES;15/06/2026;Liberado para Execução;OLVR;;353ET042968;15/06/2026 08:29;15/06/2026 16:30;Engelmig (Área 11) NEC e UPS;-23.55095649;-46.5359762;https://www.google.com/maps/place/-23.55095649,-46.5359762;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.22.05560;Reforma de Rede Secundária;LES;15/06/2026;Liberado para Execução;OLVR;;352ET059069;15/06/2026 08:29;15/06/2026 16:30;Engelmig (Área 11) NEC e UPS;-23.50679351;-46.47654202;https://www.google.com/maps/place/-23.50679351,-46.47654202;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.01053;Rede Compacta;LES;15/06/2026;Liberado para Execução;BRA;16344593-1;356BF054592;15/06/2026 09:59;15/06/2026 14:00;Engelmig (Área 11) NEC e UPS;-23.59445801;-46.41924494;https://www.google.com/maps/place/-23.59445801,-46.41924494;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.01052;Rede Compacta;LES;15/06/2026;Liberado para Execução;BRA;16344593-1;356BF054592;15/06/2026 09:59;15/06/2026 14:00;Engelmig (Área 11) NEC e UPS;-23.59445801;-46.41924494;https://www.google.com/maps/place/-23.59445801,-46.41924494;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.25.05794;Reforma de Rede Secundaria RTRI;LES;16/06/2026;Liberado para Execução;FI;16244562;356ET161421;16/06/2026 10:30;16/06/2026 14:29;Start Engenharia (Área 8B, 9  e 11) NEC;-23.56068422;-46.40035333;https://www.google.com/maps/place/-23.56068422,-46.40035333;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00623;Migração para Média Tensão;LES;16/06/2026;Liberado para Execução;PIE;16266286;356ET062938;16/06/2026 00:30;16/06/2026 04:30;Start Engenharia (Área 8B, 9  e 11) NEC;-23.59308226;-46.418334;https://www.google.com/maps/place/-23.59308226,-46.418334;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.23.00880;Afastamento de Rede (Clientes);NOR;16/06/2026;Liberado para Execução;FI;16280972;354ET023188;16/06/2026 09:59;16/06/2026 14:00;Conecta Obras Extras (Área 4 e 5) NEC;0;0;https://www.google.com/maps/place/0,0;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
