Projeto,Tipo de Serviço,Data Prog.,Status,Intervenção,PowerON,Equipamento,Horário Início,Horário Fim,Parceira,Região,Latitude,Longitude,Link Google Maps URL,Link My Maps URL
DMP/A.NOR.24.06459,Rede Compacta,11/07/2026,Liberado para Execução,PIE,16414272,257ET001606,10:00,14:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.62201123,-46.62771529,"https://www.google.com/maps/search/?api=1&query=-23.62201123,-46.62771529",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.24.06501,Rede Compacta,11/07/2026,Liberado para Execução,PIE,16414272,257ET001606,10:00,14:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.62201123,-46.62771529,"https://www.google.com/maps/search/?api=1&query=-23.62201123,-46.62771529",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.25.01128,Ligação Nova,04/07/2026,Liberado para Execução,FI,16306194,010ET005790,10:00,14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",LES,-23.65223172,-46.53791987,"https://www.google.com/maps/search/?api=1&query=-23.65223172,-46.53791987",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00201,Alteração de Carga,07/07/2026,Liberado para Execução,PIE,16413101,356ET063360,00:30,04:30,"Start Engenharia (Área 8B, 9  e 11) NEC",LES,-23.56975632,-46.44860665,"https://www.google.com/maps/search/?api=1&query=-23.56975632,-46.44860665",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.25.06904,Reforma de Rede Secundaria RTRI,04/07/2026,Liberado para Execução,FI,16366660,261ET048088,10:00,14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",LES,-23.63364393,-46.6993524,"https://www.google.com/maps/search/?api=1&query=-23.63364393,-46.6993524",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.25.06402,Reforma de Rede Secundaria RTRI,04/07/2026,Liberado para Execução,FI,16366660,352ET048088,10:00,14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",LES,-23.50826282,-46.46631524,"https://www.google.com/maps/search/?api=1&query=-23.50826282,-46.46631524",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.ABC.26.00055,Migração para Média Tensão,04/07/2026,Liberado para Execução,FI,16301945,015ET068150,10:00,14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",ABC,-23.66510404,-46.44767588,"https://www.google.com/maps/search/?api=1&query=-23.66510404,-46.44767588",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00396,Migração para Média Tensão,04/07/2026,Liberado para Execução,PIE,16395186,251ET057752,10:00,14:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.6165746,-46.67535216,"https://www.google.com/maps/search/?api=1&query=-23.6165746,-46.67535216",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.25.05399,Substituição de Poste em Mau Estado,11/07/2026,Liberado para Documentação,FI,,353ET041466,10:00,14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",LES,-23.55887181,-46.48428375,"https://www.google.com/maps/search/?api=1&query=-23.55887181,-46.48428375",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00162,Ligação Nova,04/07/2026,Liberado para Execução,FI,16363919,010ET006331,10:00,14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",LES,-23.64354446,-46.52945115,"https://www.google.com/maps/search/?api=1&query=-23.64354446,-46.52945115",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
