Projeto;Descrição;Data Prog.;Status;Intervenção;Nº PowerON;Equipamento;Horário Início;Horário Fim;Contratada;Região;Latitude;Longitude;Link Google Maps;Link My Maps
DMP/A.LES.24.07669;Reforma de Rede Secundaria RTRI;10/07/2026;Liberado para Execução;FI;16399032;353ET028268;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.53525439;-46.52473579;📍 Ver no Maps;🗺️ My Maps
DAC/A.LES.25.01077;Alteração de Carga;10/07/2026;Liberado para Execução;FI;16398538;010ET024596;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.64758667;-46.53929806;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.26.00547;Alteração de Carga;10/07/2026;Liberado para Execução;FI;16398903;354ET005070;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.48619666;-46.61534323;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.26.00490;Alteração de Carga;10/07/2026;Liberado para Execução;FI;16398999;354ET032175;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.47523433;-46.59729284;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.26.00426;Ligação Provisória;10/07/2026;Liberado para Execução;FI;16398683;151ET000012;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.55708614;-46.62891713;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.25.01323;Ligação Nova;10/07/2026;Liberado para Execução;FI;16400757;351EP003678;10:00;13:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.48659355;-46.7256558;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.26.00511;Alteração de Carga;10/07/2026;Liberado para Execução;FI;16398816;351ET054073;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.49922344;-46.6981745;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.26.00384;Alteração de Carga;10/07/2026;Liberado para Execução;FI;16398828;257ET042630;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.57499445;-46.64290034;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.26.00695;Ligação Nova;10/07/2026;Liberado para Execução;BRA;16405798;351BF052248;08:00;17:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.4021918;-46.721567;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.26.00546;Ligação Nova;10/07/2026;Liberado para Execução;FI;16399026;257ET120296;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.58808181;-46.63421933;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.25.01186;Ligação Nova;10/07/2026;Liberado para Execução;FI;16398882;354ET026887;10:00;12:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.48055993;-46.61920982;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.25.01454;Alteração de Carga;10/07/2026;Liberado para Execução;FI;16406782;151ET024726;10:00;12:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.56820051;-46.66521866;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.25.01413;Ligação Nova;10/07/2026;Liberado para Execução;FI;16407275;257ET018850;14:00;16:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.56480511;-46.61819248;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.25.01640;Alteração de Carga;10/07/2026;Liberado para Execução;FI;16406867;251ET017258;10:00;12:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.60297153;-46.6715773;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.25.01551;Ligação Nova;10/07/2026;Liberado para Execução;FI;16406952;257ET030284;14:00;16:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.5852813;-46.63731918;📍 Ver no Maps;🗺️ My Maps
DAC/A.LES.24.00614;Afastamento de Rede (Clientes);10/07/2026;Liberado para Execução;BRA;16457845;356ET029459;09:00;16:00;Alpitel Energy (Área 7, 8A e 10) NEC;LES;-23.5977508;-46.45817853;📍 Ver no Maps;🗺️ My Maps
DAC/A.LES.24.00535;Afastamento de Rede (Clientes);10/07/2026;Liberado para Execução;BRA;16457845;356ET029459;09:00;16:00;Alpitel Energy (Área 7, 8A e 10) NEC;LES;-23.5977508;-46.45817853;📍 Ver no Maps;🗺️ My Maps
DMP/A.LES.26.03077;Rede Compacta;10/07/2026;Liberado para Execução;PIE;CANCELADO;356ET160214;10:00;14:00;Engelmig (Área 11) NEC e UPS;LES;-23.58772356;-46.42080006;📍 Ver no Maps;🗺️ My Maps
DAC/A.LES.26.00735;Alteração de Carga;10/07/2026;Liberado para Execução;FI;16434971;355ET037954;10:30;14:30;Alpitel Energy (Área 7, 8A e 10) NEC;LES;-23.58536132;-46.56195926;📍 Ver no Maps;🗺️ My Maps
DMP/A.LES.26.02760;Religador Automático;10/07/2026;Liberado para Execução;BRA;16453540;356ET065376;09:00;16:00;Alpitel Energy (Área 7, 8A e 10) NEC;LES;-23.56942678;-46.41583689;📍 Ver no Maps;🗺️ My Maps
DMP/A.NOR.26.00097;Reforma de Rede Secundária;10/07/2026;Liberado para Execução;OLVR;;251ET069331;08:00;17:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.66162715;-46.64188903;📍 Ver no Maps;🗺️ My Maps
DMP/A.NOR.25.06449;Reforma de Rede Secundária;10/07/2026;Liberado para Execução;OLVR;;251ET069331;08:00;17:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.66162715;-46.64188903;📍 Ver no Maps;🗺️ My Maps
DMP/A.LES.26.01968;Rede Compacta;10/07/2026;Liberado para Execução;FI;16457623;356ET160536;10:00;14:00;Engelmig (Área 11) NEC e UPS;LES;-23.58410024;-46.41209918;📍 Ver no Maps;🗺️ My Maps
DAC/A.LES.24.00561;Afastamento de Rede (Clientes);10/07/2026;Liberado para Execução;BRA;16479513;356ET014765;09:00;16:00;Alpitel Energy (Área 7, 8A e 10) NEC;LES;-23.59597413;-46.45233402;📍 Ver no Maps;🗺️ My Maps
DAC/A.LES.24.00560;Afastamento de Rede (Clientes);10/07/2026;Liberado para Execução;BRA;16479513;356ET162619;09:00;16:00;Alpitel Energy (Área 7, 8A e 10) NEC;LES;-23.59645075;-46.45535539;📍 Ver no Maps;🗺️ My Maps
DMP/A.LES.25.00824;Instalação de equipamentos de proteção;10/07/2026;Liberado para Execução;BRA;16480436-1;352ET161220;09:00;16:00;Alpitel Energy (Área 7, 8A e 10) NEC;LES;-23.5011136059629;-46.4755408022568;📍 Ver no Maps;🗺️ My Maps
DMP/A.LES.25.00828;Instalação de equipamentos de proteção;10/07/2026;Liberado para Execução;BRA;16470161-1;352ET014312;09:00;16:00;Alpitel Energy (Área 7, 8A e 10) NEC;LES;-23.4998708924186;-46.4547331570167;📍 Ver no Maps;🗺️ My Maps
DMP/A.LES.26.00690;Instalação de equipamentos de proteção;10/07/2026;Liberado para Execução;BRA;16470326-1;352ET161511;09:00;16:00;Alpitel Energy (Área 7, 8A e 10) NEC;LES;-23.5185755286415;-46.5105067271161;📍 Ver no Maps;🗺️ My Maps
DMP/A.LES.25.00839;Instalação de equipamentos de proteção;10/07/2026;Liberado para Execução;BRA;16470380-1;353ET023516;09:00;16:00;Alpitel Energy (Área 7, 8A e 10) NEC;LES;-23.5358661159057;-46.5736928941168;📍 Ver no Maps;🗺️ My Maps
DAC/A.NOR.26.00518;Alteração de Carga;10/07/2026;Liberado para Execução;OLVR;;354ET036908;08:00;17:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.47723907;-46.5987659;📍 Ver no Maps;🗺️ My Maps
DMP/A.NOR.24.06459;Rede Compacta;11/07/2026;Liberado para Execução;PIE;16414272;257ET001606;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.62201123;-46.62771529;📍 Ver no Maps;🗺️ My Maps
DMP/A.NOR.24.06501;Rede Compacta;11/07/2026;Liberado para Execução;PIE;16414272;257ET001606;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.62201123;-46.62771529;📍 Ver no Maps;🗺️ My Maps
DMP/A.LES.25.05399;Substituição de Poste em Mau Estado;11/07/2026;Liberado para Execução;FI;DEVOLVIDO;353ET041466;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.55887181;-46.48428375;📍 Ver no Maps;🗺️ My Maps
