Projeto;Tipo de Serviço;Região;Data Programação;Status;Intervenção;PowerON;Equipamentos;Horário Início;Horário Fim;Contratada;Latitude;Longitude;Link Localização;Link My Maps
DAC/A.NOR.25.01438;Ligação Nova;NOR;19/06/2026;Liberado para Execução;PIE;16323582;257ET004452;19/06/2026 10:00;19/06/2026 14:00;Conecta Obras (Área 4 e 5) NEC;-23.60264085;-46.61622388;https://www.google.com/maps/place/-23.60264085,-46.61622388;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.01039;Rede Compacta;LES;19/06/2026;Liberado para Execução;FI;16290575;356ET160992;19/06/2026 10:00;19/06/2026 14:00;Engelmig (Área 11) NEC e UPS;-23.607595;-46.41339841;https://www.google.com/maps/place/-23.607595,-46.41339841;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00490;Ligação Nova;LES;19/06/2026;Liberado para Execução;PIE;16323440;356ET162246;19/06/2026 10:00;19/06/2026 14:00;Start Engenharia (Área 8B, 9  e 11) NEC;-23.54307711;-46.43528733;https://www.google.com/maps/place/-23.54307711,-46.43528733;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00589;Alteração de Carga;LES;19/06/2026;Liberado para Execução;FI;16297965;356ET052594;19/06/2026 10:00;19/06/2026 14:00;Start Engenharia (Área 8B, 9  e 11) NEC;-23.58585202;-46.39603737;https://www.google.com/maps/place/-23.58585202,-46.39603737;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00385;Alteração de Carga;LES;19/06/2026;Liberado para Execução;FI;16290496;353ET007623;19/06/2026 10:00;19/06/2026 14:00;Start Engenharia (Área 8B, 9  e 11) NEC;-23.52678156;-46.51914953;https://www.google.com/maps/place/-23.52678156,-46.51914953;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.24.01910;Reforma de Rede Secundaria RTRI;LES;19/06/2026;Liberado para Execução;FI;16290544;353ET006052;19/06/2026 10:00;19/06/2026 14:00;Engelmig (Área 11) NEC e UPS;-23.54486918;-46.52411202;https://www.google.com/maps/place/-23.54486918,-46.52411202;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.25.02498;Reforma de Rede Secundaria RTRI;LES;19/06/2026;Liberado para Execução;FI;16290248;010ET081182;19/06/2026 10:00;19/06/2026 14:00;Engelmig (Área 11) NEC e UPS;-23.69419658;-46.51067588;https://www.google.com/maps/place/-23.69419658,-46.51067588;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00263;Ligação Nova;NOR;19/06/2026;Liberado para Execução;FI;16301918;351BF059253;19/06/2026 10:00;19/06/2026 14:00;Conecta Obras (Área 4 e 5) NEC;-23.48526905;-46.74190124;https://www.google.com/maps/place/-23.48526905,-46.74190124;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00285;Ligação Nova;NOR;19/06/2026;Liberado para Execução;FI;16301918;351BF059253;19/06/2026 10:00;19/06/2026 14:00;Conecta Obras (Área 4 e 5) NEC;-23.48526905;-46.74190124;https://www.google.com/maps/place/-23.48526905,-46.74190124;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00518;Alteração de Carga;NOR;19/06/2026;Liberado para Execução;FI;16305716;351BF052745;19/06/2026 10:00;19/06/2026 14:00;Conecta Obras (Área 4 e 5) NEC;-23.47723907;-46.5987659;https://www.google.com/maps/place/-23.47723907,-46.5987659;https://www.google.com/maps/d/viewer?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
