Projeto;Tipo de Serviço;Região;Data Prog.;Status;Intervenção;OS;Equipamento;Início Prog.;Fim Prog.;Parceira;Latitude;Longitude;Link Google Maps
DAC/A.LES.25.00749;Alteração de Carga;LES;26/06/2026;Liberado para Documentação;PIE;;353ET053245;26/06/2026 00:29;26/06/2026 04:30;Start Engenharia (Área 8B, 9  e 11) NEC;-23.54629756;-46.62224529;https://www.google.com/maps/place/-23.54629756,-46.62224529
DAC/A.NOR.26.00554;Ligação Nova;NOR;26/06/2026;Liberado para Execução;BRA;16378972;251ET042486;26/06/2026 07:59;26/06/2026 16:59;Conecta Obras (Área 4 e 5) NEC;-23.5662875;-46.65685879;https://www.google.com/maps/place/-23.5662875,-46.65685879
DAC/A.NOR.25.01461;Ligação Nova;NOR;26/06/2026;Liberado para Execução;OLVR;;257ET018850;26/06/2026 07:59;26/06/2026 16:59;Conecta Obras (Área 4 e 5) NEC;-23.56480511;-46.61819248;https://www.google.com/maps/place/-23.56480511,-46.61819248
DAC/A.LES.24.01009;Remoção de Posto Primário;LES;26/06/2026;Liberado para Execução;BRA;16379605;356ET072637;26/06/2026 09:00;26/06/2026 16:00;ZZOUT-PSC Alpitel Área 9;-23.51787433;-46.38584905;https://www.google.com/maps/place/-23.51787433,-46.38584905
DMP/A.LES.26.02762;Religador Automático;LES;26/06/2026;Liberado para Documentação;BRA;;356ET160632;26/06/2026 09:00;26/06/2026 16:00;Alpitel Energy (Área 7, 8A e 10) NEC;-23.56655254;-46.41802376;https://www.google.com/maps/place/-23.56655254,-46.41802376
DMP/A.LES.26.02778;Religador Automático;LES;26/06/2026;Liberado para Documentação;BRA;;356ET093237;26/06/2026 09:00;26/06/2026 16:00;Alpitel Energy (Área 7, 8A e 10) NEC;-23.59295002;-46.41016548;https://www.google.com/maps/place/-23.59295002,-46.41016548
DAC/A.NOR.26.00413;Afastamento de Rede (Clientes);NOR;26/06/2026;Liberado para Execução;OLVR;;351ET037570;26/06/2026 09:00;26/06/2026 16:59;Conecta Obras (Área 4 e 5) NEC;-23.44417235;-46.78647304;https://www.google.com/maps/place/-23.44417235,-46.78647304
DMP/A.LES.26.00032;Reforma de Rede Secundaria RTRI;LES;26/06/2026;Liberado para Execução;FI;16306270;356ET027525;26/06/2026 10:00;26/06/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.55543936;-46.39535565;https://www.google.com/maps/place/-23.55543936,-46.39535565
DAC/A.NOR.26.00406;Remoção de Poste;NOR;26/06/2026;Liberado para Execução;PIE;16358465;251BF061938;26/06/2026 10:00;26/06/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.62119427;-46.65050215;https://www.google.com/maps/place/-23.62119427,-46.65050215
DAC/A.NOR.26.00521;Alteração de Carga;NOR;26/06/2026;Liberado para Execução;PIE;16359042;351ET141600;26/06/2026 10:00;26/06/2026 13:00;Conecta Obras (Área 4 e 5) NEC;-23.51151376;-46.65427038;https://www.google.com/maps/place/-23.51151376,-46.65427038
