Projeto;Tipo de Serviço;Data Prog.;Status;Intervenção;PowerON;Equipamento;Horário Início;Horário Fim;Parceira;Região;Latitude;Longitude;Link Google Maps URL;Link My Maps URL
DAC/A.LES.25.00856;Remoção de Poste;31/07/2026;Liberado para Execução;FI;16540778;356ET162220;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.59611364;-46.4410643;https://www.google.com/maps/search/?api=1&query=-23.59611364,-46.4410643;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00787;Migração para Baixa Tensão;31/07/2026;Liberado para Execução;FI;16547223;353ET025853;00:15;04:15;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.54329011;-46.62486737;https://www.google.com/maps/search/?api=1&query=-23.54329011,-46.62486737;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00843;Ligação Nova;31/07/2026;Liberado para Execução;FI;16532953;356ET054593;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.58766662;-46.404942;https://www.google.com/maps/search/?api=1&query=-23.58766662,-46.404942;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.25.03169;Substituição de Poste em Mau Estado;31/07/2026;Liberado para Execução;FI;16520583;025ET068606;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.76592319;-46.41222655;https://www.google.com/maps/search/?api=1&query=-23.76592319,-46.41222655;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.01047;Rede Compacta;31/07/2026;Liberado para Documentação;PIE;nan;356ET161110;10:00;14:00;Engelmig (Área 11) NEC e UPS;LES;-23.616621;-46.41077829;https://www.google.com/maps/search/?api=1&query=-23.616621,-46.41077829;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.05923;Substituição de Poste em Mau Estado;31/07/2026;Liberado para Execução;FI;16532350;251ET004262;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.6432245;-46.64737892;https://www.google.com/maps/search/?api=1&query=-23.6432245,-46.64737892;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.06399;Reforma de Rede Secundária;31/07/2026;Liberado para Execução;FI;16532116;251ET010312;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.63434339;-46.66682684;https://www.google.com/maps/search/?api=1&query=-23.63434339,-46.66682684;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.06464;Reforma de Rede Secundária;31/07/2026;Liberado para Execução;FI;16532787;351ET094849;10:00;14:00;ZZOUT-Conecta Área 4 (Contrato Antigo);NOR;-23.43347306;-46.74831606;https://www.google.com/maps/search/?api=1&query=-23.43347306,-46.74831606;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.07524;Segurança Operativa;31/07/2026;Liberado para Execução;FI;16531798;251BF074167;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.62228104;-46.64014858;https://www.google.com/maps/search/?api=1&query=-23.62228104,-46.64014858;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.07525;Segurança Operativa;31/07/2026;Liberado para Documentação;PIE;16546591;257BF011894;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.62986328;-46.62280411;https://www.google.com/maps/search/?api=1&query=-23.62986328,-46.62280411;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.00664;Segurança Operativa;31/07/2026;Liberado para Execução;FI;16531798;251BF074167;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.62228104;-46.64014858;https://www.google.com/maps/search/?api=1&query=-23.62228104,-46.64014858;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
