"Projeto";"Tipo de Serviço";"Data Prog.";"Status";"Intervenção";"PowerON";"Equipamento";"Horário Início";"Horário Fim";"Parceira";"Região";"Latitude";"Longitude";"Situação Coordenadas";"Link Google Maps";"Link My Maps";"Origem"
"DMP/A.LES.23.02255";"Rede Compacta";"07/09/2026";"Pendente de Aprovação";"PIE";"";"010ET014162";"10:00";"14:00";"Engelmig (Área 11) NEC e UPS";"LES";"-23.6323024806867";"-46.534005631743";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.6323024806867,-46.534005631743";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.23.02503";"Rede Compacta";"07/09/2026";"Pendente de Aprovação";"PIE";"";"010ET014162";"10:00";"14:00";"Engelmig (Área 11) NEC e UPS";"LES";"-23.6323024806867";"-46.534005631743";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.6323024806867,-46.534005631743";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.26.01969";"Rede Compacta";"07/09/2026";"Liberado para Execução";"";"";"";"";"";"Engelmig (Área 11) NEC e UPS";"LES";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DAC/A.ABC.26.00051";"Ligação Nova";"08/09/2026";"Liberado para Execução";"";"";"";"";"";"Alpitel Energy (Área 7, 8A e 10) NEC";"ABC";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DAC/A.LES.26.00367";"Ligação Nova";"08/09/2026";"Liberado para Execução";"PIE";"16716280";"356ET013048";"09:40";"14:40";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.5893071533487";"-46.4876412910288";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5893071533487,-46.4876412910288";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.26.00391";"Ligação Nova";"08/09/2026";"Liberado para Execução";"PIE";"16716280";"356ET013048";"09:40";"14:40";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.5893071533487";"-46.4876412910288";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5893071533487,-46.4876412910288";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.26.00818";"Ligação Nova";"08/09/2026";"Liberado para Execução";"";"";"";"";"";"Alpitel Energy (Área 7, 8A e 10) NEC";"LES";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DAC/A.LES.26.00849";"Alteração de Carga";"08/09/2026";"Liberado para Execução";"FI";"16737435";"353ET012209";"10:00";"14:00";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.5353824491632";"-46.5091948421809";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5353824491632,-46.5091948421809";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.26.00963";"Ligação Nova";"08/09/2026";"Liberado para Execução";"";"";"";"";"";"Alpitel Energy (Área 7, 8A e 10) NEC";"LES";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DMP/A.LES.25.06859";"Religador Automático";"08/09/2026";"Liberado para Execução";"";"";"";"";"";"Alpitel Energy (Área 7, 8A e 10) NEC";"LES";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DMP/A.LES.26.01046";"Rede Compacta";"08/09/2026";"Liberado para Execução";"PIE";"16727515";"356ET167840";"10:00";"14:00";"Engelmig (Área 11) NEC e UPS";"LES";"-23.6116069017167";"-46.411660361258";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.6116069017167,-46.411660361258";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.26.01048";"Rede Compacta";"08/09/2026";"Liberado para Execução";"PIE";"16727515";"356ET167453";"10:00";"14:00";"Engelmig (Área 11) NEC e UPS";"LES";"-23.603673994215";"-46.4129815999408";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.603673994215,-46.4129815999408";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.26.01049";"Rede Compacta";"08/09/2026";"Liberado para Execução";"PIE";"16727515";"356ET167840";"10:00";"14:00";"Engelmig (Área 11) NEC e UPS";"LES";"-23.6116069017167";"-46.411660361258";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.6116069017167,-46.411660361258";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.26.01762";"Reforma de Rede Secundária";"08/09/2026";"Liberado para Execução";"";"";"";"";"";"Alpitel Energy (Área 7, 8A e 10) NEC";"LES";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
